Repo,CommitHash,TimeStamp,Author,Language,Files,Lines,Code,Comments,Blanks,Revision Comment
tsne-mp,bb6fedb5f537d9a6828fbbab469cf98f7ea2b16e,1534382717,Daniel Rapp,Total,6,-47,-24,-20,-3,Create build for wheels (#6)
tsne-mp,662d9f231fc157bd176d5071276da44e471c551c,1491600924,Daniel Rapp,Markdown,0,-1,-1,0,0,* Include bhtsne.py script (and tsne binaries) as part of the wheel. * Change package name to bh-tsne to avoid collision with existing pypi packages
tsne-mp,662d9f231fc157bd176d5071276da44e471c551c,1491600924,Daniel Rapp,Total,0,-1,-1,0,0,* Include bhtsne.py script (and tsne binaries) as part of the wheel. * Change package name to bh-tsne to avoid collision with existing pypi packages
tsne-mp,19563f2c738572ddd53d7ad189450023f46e160e,1491272586,Daniel Rapp,Dockerfile,0,2,2,-1,1,* Include bhtsne.py script (and tsne binaries) as part of the wheel. * Change package name to bh-tsne to avoid collision with existing pypi packages
tsne-mp,19563f2c738572ddd53d7ad189450023f46e160e,1491272586,Daniel Rapp,Python,0,11,7,2,2,* Include bhtsne.py script (and tsne binaries) as part of the wheel. * Change package name to bh-tsne to avoid collision with existing pypi packages
tsne-mp,19563f2c738572ddd53d7ad189450023f46e160e,1491272586,Daniel Rapp,Total,0,13,9,1,3,* Include bhtsne.py script (and tsne binaries) as part of the wheel. * Change package name to bh-tsne to avoid collision with existing pypi packages
tsne-mp,b1aa2777f59140e7c503897b27c7ac9e3c45369b,1491254661,Daniel Rapp,Dockerfile,0,3,3,0,0,"Quick fix, add cmake to docker images"
tsne-mp,b1aa2777f59140e7c503897b27c7ac9e3c45369b,1491254661,Daniel Rapp,Total,0,3,3,0,0,"Quick fix, add cmake to docker images"
tsne-mp,a38690c6b6056655e7db9838f0e6be90eb9b1c5d,1491250719,Daniel Rapp,CMake,0,4,2,0,2,Compile a platform specific binary executable as part of the bdist.
tsne-mp,a38690c6b6056655e7db9838f0e6be90eb9b1c5d,1491250719,Daniel Rapp,Makefile,-1,-25,-14,-3,-8,Compile a platform specific binary executable as part of the bdist.
tsne-mp,a38690c6b6056655e7db9838f0e6be90eb9b1c5d,1491250719,Daniel Rapp,Markdown,0,8,8,0,0,Compile a platform specific binary executable as part of the bdist.
tsne-mp,a38690c6b6056655e7db9838f0e6be90eb9b1c5d,1491250719,Daniel Rapp,Python,1,81,57,8,16,Compile a platform specific binary executable as part of the bdist.
tsne-mp,a38690c6b6056655e7db9838f0e6be90eb9b1c5d,1491250719,Daniel Rapp,Total,0,68,53,5,10,Compile a platform specific binary executable as part of the bdist.
tsne-mp,ff040983e7d7397c673123f2129704ae8e617dde,1491184061,Daniel Rapp,Dockerfile,-1,39,11,18,10,Near final changes for docker/build
tsne-mp,ff040983e7d7397c673123f2129704ae8e617dde,1491184061,Daniel Rapp,Markdown,1,30,30,0,0,Near final changes for docker/build
