Repo,CommitHash,TimeStamp,Language,Files,Lines,Code,Comments,Blanks
Rawhide,78190e44d10a1fef437d00361361d7b82fc62a70,1523550914,Total,22,15174,14920,110,144
Rawhide,c9aa697bcd8c7552ada5a151accfbab15d873492,1523484276,BASH,2,19,9,4,6
Rawhide,c9aa697bcd8c7552ada5a151accfbab15d873492,1523484276,CSS,2,73,64,0,9
Rawhide,c9aa697bcd8c7552ada5a151accfbab15d873492,1523484276,Dockerfile,1,11,7,0,4
Rawhide,c9aa697bcd8c7552ada5a151accfbab15d873492,1523484276,HTML,1,40,17,20,3
Rawhide,c9aa697bcd8c7552ada5a151accfbab15d873492,1523484276,JavaScript,4,385,250,85,50
Rawhide,c9aa697bcd8c7552ada5a151accfbab15d873492,1523484276,JSON,3,11741,11741,0,0
Rawhide,c9aa697bcd8c7552ada5a151accfbab15d873492,1523484276,Markdown,1,2444,2444,0,0
Rawhide,c9aa697bcd8c7552ada5a151accfbab15d873492,1523484276,Python,4,147,103,1,43
Rawhide,c9aa697bcd8c7552ada5a151accfbab15d873492,1523484276,Plain Text,1,7,7,0,0
Rawhide,c9aa697bcd8c7552ada5a151accfbab15d873492,1523484276,Total,19,14867,14642,110,115
Rawhide,ed86a8e96ddbcb86c7dbf383dc80269b67ca8899,1523404502,BASH,1,12,6,2,4
Rawhide,ed86a8e96ddbcb86c7dbf383dc80269b67ca8899,1523404502,CSS,2,33,28,0,5
Rawhide,ed86a8e96ddbcb86c7dbf383dc80269b67ca8899,1523404502,Dockerfile,1,11,7,0,4
Rawhide,ed86a8e96ddbcb86c7dbf383dc80269b67ca8899,1523404502,HTML,1,40,17,20,3
Rawhide,ed86a8e96ddbcb86c7dbf383dc80269b67ca8899,1523404502,JavaScript,4,155,113,28,14
Rawhide,ed86a8e96ddbcb86c7dbf383dc80269b67ca8899,1523404502,JSON,3,11629,11629,0,0
Rawhide,ed86a8e96ddbcb86c7dbf383dc80269b67ca8899,1523404502,Markdown,1,2444,2444,0,0
Rawhide,ed86a8e96ddbcb86c7dbf383dc80269b67ca8899,1523404502,Python,4,134,91,1,42
Rawhide,ed86a8e96ddbcb86c7dbf383dc80269b67ca8899,1523404502,SVG,1,7,7,0,0
Rawhide,ed86a8e96ddbcb86c7dbf383dc80269b67ca8899,1523404502,Plain Text,1,7,7,0,0
Rawhide,ed86a8e96ddbcb86c7dbf383dc80269b67ca8899,1523404502,Total,19,14472,14349,51,72
Unicorn,b63d0c3d453e60f667d3f894ffc0af56ace26c71,1537278621,Autoconf,1,2,2,0,0
Unicorn,b63d0c3d453e60f667d3f894ffc0af56ace26c71,1537278621,BASH,10,114,51,27,36
Unicorn,b63d0c3d453e60f667d3f894ffc0af56ace26c71,1537278621,Dockerfile,1,11,8,0,3
Unicorn,b63d0c3d453e60f667d3f894ffc0af56ace26c71,1537278621,HTML,2,135,118,0,17
Unicorn,b63d0c3d453e60f667d3f894ffc0af56ace26c71,1537278621,Markdown,1,31,31,0,0
Unicorn,b63d0c3d453e60f667d3f894ffc0af56ace26c71,1537278621,Notebook,2,1231,1231,0,0
Unicorn,b63d0c3d453e60f667d3f894ffc0af56ace26c71,1537278621,Python,17,3159,2369,218,572
Unicorn,b63d0c3d453e60f667d3f894ffc0af56ace26c71,1537278621,Shell,1,10,5,2,3
Unicorn,b63d0c3d453e60f667d3f894ffc0af56ace26c71,1537278621,Plain Text,1,13,13,0,0
Unicorn,b63d0c3d453e60f667d3f894ffc0af56ace26c71,1537278621,Total,36,4706,3828,247,631
