Repo,CommitHash,TimeStamp,Author,Language,Files,Lines,Code,Comments,Blanks,Revision Comment
ThunderWeasel,e30feed90643ec0b22c50a99313baae89a57ed95,1536359750,John Nash,Total,0,306,306,0,0,trained clf
ThunderWeasel,c1dafc47e1125bd88bb7743964b543a05fa86de3,1536352409,René Descartes,Notebook,0,-1016,-1016,0,0,"Can now so a s-curve with ""at least k matches"" instead of just ""at least 1 match"""
ThunderWeasel,c1dafc47e1125bd88bb7743964b543a05fa86de3,1536352409,René Descartes,Total,0,-1016,-1016,0,0,"Can now so a s-curve with ""at least k matches"" instead of just ""at least 1 match"""
ThunderWeasel,151f493260fb1501d1b2fa0e57f8c6937d7dca50,1536352006,John Nash,Notebook,0,264,264,0,0,updating notebook
ThunderWeasel,151f493260fb1501d1b2fa0e57f8c6937d7dca50,1536352006,John Nash,Total,0,264,264,0,0,updating notebook
ThunderWeasel,71947aaf91a8928496aa190ecfda4ff20b1681a4,1536332388,Edsger Dijkstra,JavaScript,0,2,3,0,-1,set new resolution element in puppeteer results
ThunderWeasel,71947aaf91a8928496aa190ecfda4ff20b1681a4,1536332388,Edsger Dijkstra,Python,0,1,1,0,0,set new resolution element in puppeteer results
ThunderWeasel,71947aaf91a8928496aa190ecfda4ff20b1681a4,1536332388,Edsger Dijkstra,Total,0,3,4,0,-1,set new resolution element in puppeteer results
ThunderWeasel,a01966491e9976e29cadb3578b38ea44ca21c478,1536326663,René Descartes,Notebook,1,1108,1108,0,0,s curve notebook
ThunderWeasel,a01966491e9976e29cadb3578b38ea44ca21c478,1536326663,René Descartes,Total,1,1108,1108,0,0,s curve notebook
ThunderWeasel,945ed64915d7a2761ae5488651b057740e8d5a42,1536326323,John Nash,Notebook,0,357,357,0,0,pausing here
ThunderWeasel,945ed64915d7a2761ae5488651b057740e8d5a42,1536326323,John Nash,Total,0,357,357,0,0,pausing here
ThunderWeasel,7b4aa7ebf1981e1b4bd0f7182aaea5872820e415,1536274976,Edsger Dijkstra,Python,0,-10,5,-16,1,pass tests
ThunderWeasel,7b4aa7ebf1981e1b4bd0f7182aaea5872820e415,1536274976,Edsger Dijkstra,Plain Text,0,-14,-14,0,0,pass tests
ThunderWeasel,7b4aa7ebf1981e1b4bd0f7182aaea5872820e415,1536274976,Edsger Dijkstra,Total,0,-24,-9,-16,1,pass tests
ThunderWeasel,ba81086ad7f778fa34ea3e8f3e76391a989f297f,1536272016,Leonhard Euler,Notebook,0,19,19,0,0,adding to keep urls and to show maximal false positives from each classifier
