Repo,CommitHash,TimeStamp,ParentHashMaster,ParentHashBranch,PrMergeDuration
ThunderWeasel,79e1647539b399bea7fc970eb538918e7bcc7d33,1536845253,79e1647539b399bea7fc970eb538918e7bcc7d33,68ac2bce31a0eb61e3dfa7e122ff6c0185b1bec6,156973.0
ThunderWeasel,9b520b3d27ff13dcae1530205702c611e1c45543,1536767713,9b520b3d27ff13dcae1530205702c611e1c45543,6fee3481a91a7ec3a17eb19753dc95baa7d119e9,504.0
ThunderWeasel,03be1c8dbdf5954cdc05f59a0751d2dc10375fd9,1536765696,03be1c8dbdf5954cdc05f59a0751d2dc10375fd9,305c115eb1b4f391c398a8baf97a94a502d2b604,1626017.0
ThunderWeasel,3c87a350c74bdce749381fd9dfa65e5d9790df28,1536765676,3c87a350c74bdce749381fd9dfa65e5d9790df28,f26e03acc4d2d31df53d2807e9aee9a721d043fc,66432.0
ThunderWeasel,f6898ae474fd3d136fd459f52c7f43c05554c8c1,1536765586,f6898ae474fd3d136fd459f52c7f43c05554c8c1,fe1f20c691ac20026131d502688c06435eae913e,2518.0
ThunderWeasel,bc0033d98ab0e5dc0951206e2143e0f1fc3ed3e6,1536698748,bc0033d98ab0e5dc0951206e2143e0f1fc3ed3e6,3b67d776dffd1f6cccd2715df8ee1800ed49bcd9,2729.0
ThunderWeasel,c75ec9880abd681eb8235424919017df4a49a869,1536698316,c75ec9880abd681eb8235424919017df4a49a869,7b1277465d85e8ddc9223cc96ec4450262465e60,682.0
ThunderWeasel,ad166c844333bcf45ccc4ef9b68dda8c4e5dd320,1536683719,ad166c844333bcf45ccc4ef9b68dda8c4e5dd320,a1dfd8aba5c54df807fd942fe125f4a7456da527,1141.0
ThunderWeasel,fa016384b27880f1fad675640bdb15e4baa54c1a,1536682193,fa016384b27880f1fad675640bdb15e4baa54c1a,3c60d62b57ab8dcf089ac23b39501e16f9ab819e,668.0
ThunderWeasel,10d47b49928a4ba11c80a76de4723b1b51999850,1536681695,10d47b49928a4ba11c80a76de4723b1b51999850,e8d995b194254120004509205c3b945b449cded8,3446.0
ThunderWeasel,5d855fcee16d5b1fba674bf022bafbd3253f4215,1536615374,5d855fcee16d5b1fba674bf022bafbd3253f4215,250851f73245225902577021795f59326a36ad5e,1826.0
ThunderWeasel,d1346cf45e98accadd04a3b3bafe66ae01fe2692,1536604179,d1346cf45e98accadd04a3b3bafe66ae01fe2692,ee465d88677dda6b49e8d8fa125d142f6155565e,420.0
ThunderWeasel,29f6839654a7be407390ff19bfbbea6630d716f4,1536592537,29f6839654a7be407390ff19bfbbea6630d716f4,e30feed90643ec0b22c50a99313baae89a57ed95,232787.0
ThunderWeasel,2f5294fc348d0e1efea69985b2178f9f61c713e6,1536352544,2f5294fc348d0e1efea69985b2178f9f61c713e6,eab28f90d512ea66b30cfde0b723a0edff2f14f2,20060.0
ThunderWeasel,ac761be57ab7c30c3548fed9a0e1c1a4aac3f538,1536328777,ac761be57ab7c30c3548fed9a0e1c1a4aac3f538,a01966491e9976e29cadb3578b38ea44ca21c478,2114.0
ThunderWeasel,88c1441320682d39b140e13e0618747bc3804146,1536328120,88c1441320682d39b140e13e0618747bc3804146,ba81086ad7f778fa34ea3e8f3e76391a989f297f,56104.0
ThunderWeasel,9ce8e6a949056f3ae94bb58972d26dbffff3618d,1536328098,9ce8e6a949056f3ae94bb58972d26dbffff3618d,2dc355845bab4a43d69eccb8fed1889aa815fe77,52860.0
ThunderWeasel,036443b0dca085f2d023ac697be9e45232941bc3,1536275033,036443b0dca085f2d023ac697be9e45232941bc3,7b4aa7ebf1981e1b4bd0f7182aaea5872820e415,57.0
